"playerId","shirtNumber","position",positionAcronym,"fullName","dateOfBirth","teamId","team","height","weight","goals","penalty","yellowCards","redCards"
"BIDU-1","1","Thủ môn",GK,"Nguyễn Sơn Hải","06-05-1994","BIDU","Becamex Bình Dương","186","76","0","0","1","0"
"BIDU-2","2","Hậu vệ",DF,"Nguyễn Hùng Thiện Đức","08-12-1999","BIDU","Becamex Bình Dương","169","66","0","0","0","0"
"BIDU-3","3","Hậu vệ",DF,"Nguyễn Thanh Thảo","14-05-1995","BIDU","Becamex Bình Dương","178","67","0","0","0","0"
"BIDU-4","4","Hậu vệ",DF,"Ndiaye Guy Olivier","05-05-1994","BIDU","Becamex Bình Dương","192","91","0","0","0","0"
"BIDU-5","5","Hậu vệ",DF,"Uông Ngọc Tiến","23-03-2000","BIDU","Becamex Bình Dương","168","63","0","0","0","0"
"BIDU-6","6","Tiền vệ",MF,"Nguyễn Trọng Huy","25-06-1997","BIDU","Becamex Bình Dương","179","71","0","0","0","0"
"BIDU-7","7","Hậu vệ",DF,"Nguyễn Thanh Long","10-01-1993","BIDU","Becamex Bình Dương","182","80","0","0","1","0"
"BIDU-8","8","Hậu vệ",DF,"Nguyễn Anh Tài","05-02-1996","BIDU","Becamex Bình Dương","168","70","0","0","0","0"
"BIDU-9","9","Tiền vệ",MF,"Đoàn Tuấn Cảnh","27-07-1998","BIDU","Becamex Bình Dương","175","63","0","0","0","0"
"BIDU-10","10","Tiền đạo",ST,"Teofilo Soares Eydison","30-05-1988","BIDU","Becamex Bình Dương","178","82","0","0","0","0"
"BIDU-11","11","Tiền đạo",ST,"Bùi Vĩ Hào","24-02-2003","BIDU","Becamex Bình Dương","180","69","0","0","0","0"
"BIDU-12","12","Tiền vệ",MF,"Trần Duy Khánh","20-07-1997","BIDU","Becamex Bình Dương","171","69","0","0","0","0"
"BIDU-13","13","Thủ môn",GK,"Nguyễn Huỳnh Văn Bin","12-01-2002","BIDU","Becamex Bình Dương","178","69","0","0","0","0"
"BIDU-14","14","Tiền vệ",MF,"Trần Hoàng Phương","11-04-1994","BIDU","Becamex Bình Dương","167","62","0","0","0","0"
"BIDU-15","15","Hậu vệ",DF,"Trương Dũ Đạt","25-07-1997","BIDU","Becamex Bình Dương","180","75","0","0","0","0"
"BIDU-16","16","Tiền đạo",ST,"Nguyễn Trần Việt Cường","27-12-2000","BIDU","Becamex Bình Dương","174","63","0","0","0","0"
"BIDU-17","17","Tiền vệ",MF,"Tống Anh Tỷ","24-01-1997","BIDU","Becamex Bình Dương","172","67","0","0","0","0"
"BIDU-18","18","Tiền đạo",ST,"Hồ Sỹ Giáp","18-04-1994","BIDU","Becamex Bình Dương","176","67","1","0","1","0"
"BIDU-19","19","Tiền vệ",MF,"Lưu Tự Nhân","18-12-2001","BIDU","Becamex Bình Dương","178","67","0","0","0","0"
"BIDU-20","20","Hậu vệ",DF,"Đoàn Văn Quý","02-01-1998","BIDU","Becamex Bình Dương","171","64","0","0","0","0"
"BIDU-22","22","Tiền đạo",ST,"Nguyễn Tiến Linh","20-10-1997","BIDU","Becamex Bình Dương","178","67","1","0","0","0"
"BIDU-23","23","Tiền đạo",ST,"Hà Trung Hậu","03-10-2002","BIDU","Becamex Bình Dương","178","73","0","0","0","0"
"BIDU-24","24","Tiền vệ",MF,"Trần Hoàng Bảo","15-05-2001","BIDU","Becamex Bình Dương","176","58","0","0","0","0"
"BIDU-25","25","Thủ môn",GK,"Trần Đức Cường","20-05-1985","BIDU","Becamex Bình Dương","183","75","0","0","0","0"
"BIDU-26","26","Tiền vệ",MF,"Lê Vũ Quốc Nhật","16-10-1996","BIDU","Becamex Bình Dương","171","64","0","0","0","0"
"BIDU-27","27","Hậu vệ",DF,"Nguyễn Trung Tín","14-09-1991","BIDU","Becamex Bình Dương","178","75","0","0","0","0"
"BIDU-28","28","Tiền vệ",MF,"Tô Văn Vũ","20-10-1993","BIDU","Becamex Bình Dương","171","62","0","0","2","0"
"BIDU-29","29","Tiền vệ",MF,"Võ Hoàng Minh Khoa","12-03-2001","BIDU","Becamex Bình Dương","173","68","0","0","1","0"
"BIDU-30","30","Thủ môn",GK,"Lại Tuấn Vũ","03-02-1993","BIDU","Becamex Bình Dương","183","76","0","0","0","0"
"BIDU-33","33","Hậu vệ",DF,"Lê Văn Đại","02-08-1996","BIDU","Becamex Bình Dương","181","78","0","0","0","0"
"BIDU-39","39","Tiền đạo",ST,"Ceesay Dawda","1993","BIDU","Becamex Bình Dương","185","86","0","0","0","0"
"BIDU-46","46","Thủ môn",GK,"Phan Minh Thành","22-11-1998","BIDU","Becamex Bình Dương","192","78","0","0","0","0"
"THH-1","1","Thủ môn",GK,"Lương Bá Sơn","10-10-1992","THH","Đông Á Thanh Hóa","180","74","0","0","0","0"
"THH-2","2","Tiền vệ",MF,"Hoàng Đình Tùng","24-08-1988","THH","Đông Á Thanh Hóa","167","60","0","0","0","0"
"THH-3","3","Hậu vệ",DF,"Vũ Xuân Cường","06-08-1992","THH","Đông Á Thanh Hóa","171","70","0","0","0","0"
"THH-4","4","Hậu vệ",DF,"Đàm Tiến Dũng","10-01-1996","THH","Đông Á Thanh Hóa","178","75","0","0","1","0"
